gene_id	geneSymbol	mean	median	longest_isoform	merged	gene_category
ENSG00000266728.5	AC015688.5	567	567	603	730	processed_pseudogene
ENSG00000266771.1	AC015688.6	104	104	104	104	lncRNA
ENSG00000266872.1	AC015688.7	656	656	656	656	NA
ENSG00000254480.2	AC015689.1	557	557	653	718	NA
ENSG00000255387.1	AC015689.2	1738	1738	1738	1738	NA
ENSG00000232386.9	AC015712.1	600	588	755	1479	lncRNA
ENSG00000259583.3	AC015712.2	2614	3213	4312	7699	lncRNA
ENSG00000259586.1	AC015712.3	164	164	164	164	processed_pseudogene
ENSG00000259604.5	AC015712.4	753	630	1007	1183	lncRNA
ENSG00000272639.1	AC015712.5	564	564	564	564	lncRNA
ENSG00000272808.4	AC015712.6	4360	4360	5068	8164	lncRNA
ENSG00000278456.1	AC015712.7	635	635	635	635	lncRNA
ENSG00000260483.2	AC015720.1	277	277	277	277	processed_pseudogene
ENSG00000261813.2	AC015720.2	334	334	334	334	processed_pseudogene
ENSG00000259041.1	AC015722.1	385	385	385	385	lncRNA
ENSG00000274312.1	AC015722.2	551	551	551	551	lncRNA
ENSG00000270091.1	AC015726.1	578	578	681	698	lncRNA
ENSG00000276406.1	AC015726.2	122	122	122	122	lncRNA
ENSG00000279251.1	AC015726.3	418	418	418	418	TEC
ENSG00000263220.1	AC015727.1	512	512	512	512	lncRNA
ENSG00000253208.1	AC015743.1	795	795	795	795	NA
ENSG00000254594.5	AC015771.1	476	476	554	604	NA
ENSG00000250751.1	AC015795.1	575	575	575	575	lncRNA
ENSG00000279432.1	AC015799.1	3122	3122	3122	3122	TEC
ENSG00000267078.1	AC015802.1	1449	1449	1449	1449	lncRNA
ENSG00000267084.1	AC015802.2	189	189	189	189	processed_pseudogene
ENSG00000267543.1	AC015802.3	570	570	570	570	lncRNA
ENSG00000267546.2	AC015802.4	540	554	578	1494	lncRNA
ENSG00000272386.1	AC015802.5	399	399	399	399	lncRNA
ENSG00000284526.1	AC015802.6	5654	5654	5654	5654	protein_coding
ENSG00000279600.1	AC015804.1	435	435	435	435	TEC
ENSG00000264112.1	AC015813.1	3753	4056	4722	5812	lncRNA
ENSG00000266086.3	AC015813.2	1490	1490	2270	2270	protein_coding
ENSG00000266290.1	AC015813.3	6113	6113	6113	6113	lncRNA
ENSG00000278642.1	AC015813.4	179	179	179	179	lncRNA
ENSG00000279069.1	AC015813.5	1514	1514	1514	1514	TEC
ENSG00000279207.1	AC015813.6	5808	5808	5808	5808	TEC
ENSG00000280233.1	AC015813.7	581	581	581	581	TEC
ENSG00000230339.2	AC015818.1	244	244	244	244	processed_pseudogene
ENSG00000260907.1	AC015818.2	840	840	840	840	lncRNA
ENSG00000263946.1	AC015818.3	436	436	589	739	transcribed_processed_pseudogene
ENSG00000264422.1	AC015818.4	353	353	353	353	lncRNA
ENSG00000265916.1	AC015818.6	634	634	634	634	processed_pseudogene
ENSG00000266042.1	AC015818.7	109	109	109	109	lncRNA
ENSG00000266925.1	AC015818.8	1519	1519	1519	1519	lncRNA
ENSG00000267075.1	AC015818.9	4582	4582	4582	4582	lncRNA
ENSG00000273669.1	AC015819.1	663	663	663	663	lncRNA
ENSG00000278607.1	AC015819.2	555	555	555	555	lncRNA
ENSG00000278911.1	AC015819.3	2674	2674	2674	2674	lncRNA
ENSG00000264914.1	AC015845.1	288	288	335	459	lncRNA
ENSG00000265542.5	AC015845.2	488	488	505	612	lncRNA
ENSG00000270240.2	AC015849.1	479	479	662	755	lncRNA
ENSG00000270829.1	AC015849.2	409	409	409	409	lncRNA
ENSG00000270871.1	AC015849.3	488	488	488	488	lncRNA
ENSG00000270894.1	AC015849.4	421	421	421	421	lncRNA
ENSG00000270977.2	AC015849.5	3010	3178	5473	6377	transcribed_processed_pseudogene
ENSG00000271268.1	AC015849.6	474	474	474	474	processed_pseudogene
ENSG00000262905.1	AC015853.1	592	592	592	592	lncRNA
ENSG00000263015.1	AC015853.2	493	493	493	493	lncRNA
ENSG00000263300.1	AC015853.3	478	478	478	478	lncRNA
ENSG00000259770.2	AC015871.1	1081	1081	1081	1081	processed_pseudogene
ENSG00000271364.1	AC015871.2	948	948	948	948	processed_pseudogene
ENSG00000278600.1	AC015871.3	2261	2261	2261	2261	lncRNA
ENSG00000279394.1	AC015871.4	2260	2260	2260	2260	TEC
ENSG00000279719.1	AC015871.5	701	701	702	702	TEC
ENSG00000265751.1	AC015878.1	679	679	679	679	lncRNA
ENSG00000265948.1	AC015878.2	361	361	361	361	lncRNA
ENSG00000279281.1	AC015883.1	2074	2074	2074	2074	TEC
ENSG00000240813.2	AC015908.1	476	476	476	476	processed_pseudogene
ENSG00000263508.6	AC015908.2	740	756	1024	1219	lncRNA
ENSG00000264016.3	AC015908.3	624	667	750	1024	lncRNA
ENSG00000266114.1	AC015908.4	575	575	575	575	lncRNA
ENSG00000279542.1	AC015908.5	343	343	343	343	TEC
ENSG00000284876.1	AC015908.6	1400	1400	1400	1400	lncRNA
ENSG00000285220.1	AC015908.7	1001	1001	1001	1001	lncRNA
ENSG00000249406.3	AC015909.1	1455	1371	1840	2604	lncRNA
ENSG00000253730.1	AC015909.2	547	547	547	547	lncRNA
ENSG00000261959.1	AC015909.3	1794	1794	1794	1794	lncRNA
ENSG00000263176.1	AC015909.4	578	578	578	578	lncRNA
ENSG00000279792.1	AC015909.5	2266	2266	2266	2266	TEC
ENSG00000265460.6	AC015910.1	804	804	975	1294	transcribed_processed_pseudogene
ENSG00000242660.1	AC015911.1	156	156	156	156	processed_pseudogene
ENSG00000267035.1	AC015911.2	396	396	396	396	lncRNA
ENSG00000267074.1	AC015911.3	849	849	849	849	lncRNA
ENSG00000267312.1	AC015911.4	1070	1070	1070	1070	processed_pseudogene
ENSG00000267349.1	AC015911.5	451	451	451	451	lncRNA
ENSG00000267359.1	AC015911.6	457	457	457	457	lncRNA
ENSG00000267369.1	AC015911.7	958	958	958	958	processed_pseudogene
ENSG00000267554.1	AC015911.8	560	560	560	560	lncRNA
ENSG00000267625.1	AC015911.9	185	185	185	185	transcribed_unprocessed_pseudogene
ENSG00000262112.1	AC015912.1	538	538	538	538	lncRNA
ENSG00000262408.1	AC015912.2	181	181	181	181	processed_pseudogene
ENSG00000274213.1	AC015912.3	348	348	348	348	lncRNA
ENSG00000259351.1	AC015914.1	1072	1072	1072	1072	lncRNA
ENSG00000275785.1	AC015914.2	288	288	288	288	unprocessed_pseudogene
ENSG00000263870.1	AC015917.1	510	510	510	510	unprocessed_pseudogene
ENSG00000265254.1	AC015917.2	493	493	493	493	lncRNA
ENSG00000278972.1	AC015920.1	2450	2450	2450	2450	TEC
ENSG00000262884.1	AC015921.1	2546	2546	2546	2546	lncRNA
ENSG00000227790.7	AC015922.1	862	862	1152	1446	unprocessed_pseudogene
ENSG00000233090.1	AC015922.2	184	184	184	184	lncRNA
ENSG00000265519.1	AC015922.3	347	347	347	347	lncRNA
ENSG00000276855.1	AC015922.4	690	690	690	690	NA
ENSG00000233635.2	AC015923.1	398	398	491	656	lncRNA
ENSG00000267334.1	AC015936.1	1028	1028	1028	1028	lncRNA
ENSG00000267788.1	AC015936.2	259	259	259	259	lncRNA
ENSG00000279829.1	AC015959.1	1377	1377	1377	1377	TEC
ENSG00000267651.1	AC015961.1	2124	2124	2124	2124	lncRNA
ENSG00000267707.2	AC015961.2	701	701	701	701	lncRNA
ENSG00000274400.1	AC015967.1	476	476	476	476	lncRNA
ENSG00000280096.1	AC015967.2	234	234	234	234	TEC
ENSG00000203395.2	AC015969.1	1416	1416	1416	1416	lncRNA
ENSG00000228363.2	AC015971.1	1106	982	1948	2860	lncRNA
ENSG00000225024.1	AC015977.1	292	292	292	292	lncRNA
ENSG00000225378.1	AC015977.2	567	567	567	567	NA
ENSG00000283076.1	AC015978.1	890	890	890	890	misc_RNA
ENSG00000272606.1	AC015982.1	465	465	465	465	snoRNA
ENSG00000213302.3	AC015983.1	373	373	373	373	processed_pseudogene
ENSG00000234418.2	AC015983.2	1262	1406	1497	1888	lncRNA
ENSG00000224746.2	AC015987.1	1668	1668	1668	1668	lncRNA
ENSG00000093100.13	AC016026.1	4328	4328	4328	4328	lncRNA
ENSG00000225335.3	AC016027.1	1075	805	1699	2235	lncRNA
ENSG00000234913.1	AC016027.2	2493	2493	2493	2493	lncRNA
ENSG00000235445.1	AC016027.3	361	361	361	361	lncRNA
ENSG00000235617.1	AC016027.4	277	277	277	277	unprocessed_pseudogene
ENSG00000236890.2	AC016027.5	210	210	210	210	processed_pseudogene
ENSG00000259203.2	AC016044.1	1128	959	2130	3179	lncRNA
ENSG00000246089.3	AC016065.1	1522	1137	2413	2934	lncRNA
ENSG00000253550.1	AC016065.2	444	444	444	444	processed_pseudogene
ENSG00000253470.1	AC016074.1	636	636	636	636	lncRNA
ENSG00000260926.3	AC016134.1	891	876	1167	1387	lncRNA
ENSG00000257680.1	AC016144.1	1087	1087	1087	1087	processed_pseudogene
ENSG00000258312.1	AC016152.1	521	521	521	521	lncRNA
ENSG00000267521.1	AC016168.1	722	722	722	722	lncRNA
ENSG00000267568.6	AC016168.2	505	610	623	969	lncRNA
ENSG00000280122.1	AC016168.3	3246	3246	3246	3246	TEC
ENSG00000261077.1	AC016180.1	403	403	403	403	snoRNA
ENSG00000267770.1	AC016182.1	582	582	582	582	processed_pseudogene
ENSG00000267374.2	AC016205.1	1272	1265	2536	11735	NA
ENSG00000267000.1	AC016229.1	487	487	487	487	lncRNA
ENSG00000267677.1	AC016229.2	417	417	417	417	lncRNA
ENSG00000262833.1	AC016245.1	3204	3204	3204	3204	lncRNA
ENSG00000280291.1	AC016251.2	3089	3089	3089	3089	NA
ENSG00000272609.1	AC016252.1	474	474	474	474	lncRNA
ENSG00000257287.1	AC016256.1	354	354	354	354	NA
ENSG00000259011.1	AC016266.1	729	729	729	729	lncRNA
ENSG00000235361.1	AC016292.1	235	235	235	235	lncRNA
ENSG00000275997.1	AC016292.2	210	210	210	210	processed_pseudogene
ENSG00000243122.1	AC016304.1	413	413	413	413	processed_pseudogene
ENSG00000270964.1	AC016355.1	1533	1533	1533	1533	lncRNA
ENSG00000265670.1	AC016382.1	387	387	387	387	lncRNA
ENSG00000266335.1	AC016383.1	714	714	714	714	lncRNA
ENSG00000227540.1	AC016394.1	648	635	762	940	lncRNA
ENSG00000272599.2	AC016394.2	732	732	833	960	lncRNA
ENSG00000233590.1	AC016395.1	441	441	465	561	NA
ENSG00000228527.1	AC016396.1	328	328	328	328	lncRNA
ENSG00000261076.1	AC016396.2	1417	1417	1417	1417	lncRNA
ENSG00000231906.1	AC016397.1	242	242	242	242	processed_pseudogene
ENSG00000279822.1	AC016397.2	1985	1985	1985	1985	TEC
ENSG00000253372.5	AC016405.1	652	652	758	1018	lncRNA
ENSG00000272043.1	AC016405.2	312	312	312	312	lncRNA
ENSG00000272384.1	AC016405.3	860	860	860	860	lncRNA
ENSG00000267039.1	AC016493.1	688	688	688	688	lncRNA
ENSG00000258402.1	AC016526.1	520	520	520	520	lncRNA
ENSG00000258454.1	AC016526.2	520	520	520	520	lncRNA
ENSG00000280078.1	AC016526.3	3931	3931	3931	3931	TEC
ENSG00000283629.1	AC016526.4	517	517	517	517	lncRNA
ENSG00000272627.1	AC016542.1	493	493	493	493	lncRNA
ENSG00000279502.1	AC016542.2	619	619	619	619	TEC
ENSG00000280166.1	AC016542.3	619	619	619	619	TEC
ENSG00000243744.2	AC016546.1	463	463	463	463	processed_pseudogene
ENSG00000248195.1	AC016550.1	785	785	785	785	lncRNA
ENSG00000248363.5	AC016550.2	569	569	581	581	lncRNA
ENSG00000250124.1	AC016550.3	767	767	767	767	lncRNA
ENSG00000248145.2	AC016553.1	1342	1342	1342	1342	lncRNA
ENSG00000251421.2	AC016556.1	935	935	935	935	lncRNA
ENSG00000249829.2	AC016559.1	199	199	199	199	snoRNA
ENSG00000250330.1	AC016559.2	359	359	359	359	processed_pseudogene
ENSG00000253968.2	AC016573.1	1095	1185	1310	1699	lncRNA
ENSG00000272057.1	AC016575.1	382	382	382	382	lncRNA
ENSG00000251423.3	AC016576.1	3748	3748	3912	3912	lncRNA
ENSG00000225868.7	AC016582.1	1261	554	2982	4990	transcribed_unprocessed_pseudogene
ENSG00000267422.1	AC016582.2	770	770	1094	1432	transcribed_processed_pseudogene
ENSG00000267640.6	AC016582.3	1505	561	6580	6985	transcribed_unprocessed_pseudogene
ENSG00000280159.1	AC016583.1	2431	2431	2431	2431	TEC
ENSG00000268670.1	AC016586.1	684	684	684	684	lncRNA
ENSG00000267124.2	AC016588.1	542	542	542	542	lncRNA
ENSG00000282393.1	AC016588.2	3021	3021	3021	3021	lncRNA
ENSG00000267605.7	AC016590.1	1083	1055	2303	3466	lncRNA
ENSG00000267682.1	AC016590.2	375	375	375	375	lncRNA
ENSG00000276846.1	AC016590.3	753	753	753	753	lncRNA
ENSG00000259603.1	AC016595.1	383	383	383	383	lncRNA
ENSG00000227908.3	AC016596.1	2289	2289	2289	2289	snoRNA
ENSG00000264281.3	AC016596.2	78	78	78	78	processed_pseudogene
ENSG00000261329.6	AC016597.1	1401	746	4109	5314	lncRNA
ENSG00000273553.1	AC016597.2	341	341	341	341	lncRNA
ENSG00000249429.1	AC016598.1	560	560	560	560	lncRNA
ENSG00000251205.3	AC016598.2	1040	985	1605	2618	lncRNA
ENSG00000251591.2	AC016612.1	289	289	289	289	processed_pseudogene
ENSG00000269032.1	AC016629.1	199	199	199	199	transcribed_processed_pseudogene
ENSG00000269600.2	AC016629.2	1098	1098	1307	1882	lncRNA
ENSG00000251368.1	AC016632.1	196	196	196	196	processed_pseudogene
ENSG00000248475.5	AC016642.1	558	558	641	697	lncRNA
ENSG00000235635.1	AC016644.1	434	434	434	434	lncRNA
ENSG00000250981.1	AC016650.1	708	708	708	708	NA
ENSG00000249332.2	AC016651.1	888	822	1286	1767	NA
ENSG00000234174.1	AC016683.1	571	571	583	1074	lncRNA
ENSG00000239983.1	AC016687.1	353	353	353	353	processed_pseudogene
ENSG00000250723.7	AC016687.2	1117	964	2908	7115	lncRNA
ENSG00000250954.6	AC016687.3	1411	1389	2404	3618	lncRNA
ENSG00000233741.1	AC016691.1	413	413	413	413	NA
ENSG00000224917.1	AC016694.1	700	700	700	700	unprocessed_pseudogene
ENSG00000233335.1	AC016696.1	318	318	318	318	NA
ENSG00000225392.1	AC016700.1	312	312	312	312	lncRNA
ENSG00000231414.1	AC016700.2	156	156	156	156	NA
ENSG00000233060.1	AC016700.3	448	448	448	448	NA
ENSG00000258010.4	AC016705.1	1216	1216	1891	2205	lncRNA
ENSG00000259495.3	AC016705.2	2246	836	6878	8069	lncRNA
ENSG00000229267.3	AC016708.1	1751	2089	2203	2553	NA
ENSG00000229131.1	AC016710.1	466	466	466	466	lncRNA
ENSG00000235225.1	AC016712.1	378	378	378	378	NA
ENSG00000223427.1	AC016716.1	708	708	708	708	lncRNA
ENSG00000224731.1	AC016716.2	486	486	486	486	NA
ENSG00000228206.2	AC016717.1	286	286	286	286	processed_pseudogene
ENSG00000273301.1	AC016717.2	5141	5141	5141	5141	lncRNA
ENSG00000279015.1	AC016717.3	554	554	554	554	TEC
ENSG00000226548.1	AC016722.1	652	652	652	652	lncRNA
ENSG00000228925.1	AC016722.2	1835	1835	1835	1835	lncRNA
ENSG00000235335.3	AC016723.1	679	643	877	1360	NA
ENSG00000232090.2	AC016724.1	421	421	421	421	NA
ENSG00000270820.6	AC016727.1	1143	1153	2010	2409	lncRNA
ENSG00000271243.1	AC016727.2	621	621	621	621	processed_pseudogene
ENSG00000227718.1	AC016730.1	832	832	832	832	lncRNA
ENSG00000228305.2	AC016734.1	654	654	654	654	TEC
ENSG00000279485.1	AC016734.2	1377	1377	1377	1377	NA
ENSG00000224739.2	AC016735.1	237	237	237	237	lncRNA
ENSG00000233978.1	AC016735.2	569	569	569	569	NA
ENSG00000271151.1	AC016737.1	1068	1068	1068	1068	lncRNA
ENSG00000273258.1	AC016737.2	358	358	358	358	lncRNA
ENSG00000223947.1	AC016738.1	3485	3485	3485	3485	lncRNA
ENSG00000230140.7	AC016738.2	1112	1225	1508	2110	NA
ENSG00000218175.2	AC016739.1	345	345	345	345	processed_pseudogene
ENSG00000234997.2	AC016745.1	759	759	1011	1013	lncRNA
ENSG00000272563.1	AC016745.2	3443	3443	3443	3443	lncRNA
ENSG00000257045.1	AC016746.1	831	831	831	831	lncRNA
ENSG00000212978.6	AC016747.1	1113	743	2532	3109	lncRNA
ENSG00000271889.1	AC016747.2	328	332	364	884	lncRNA
ENSG00000273302.1	AC016747.3	791	791	791	791	lncRNA
ENSG00000274769.1	AC016747.4	1383	1383	1383	1383	lncRNA
ENSG00000229779.1	AC016751.1	306	306	306	306	lncRNA
ENSG00000235047.1	AC016751.2	280	280	280	280	lncRNA
ENSG00000186235.11	AC016757.1	1453	811	3111	3860	NA
ENSG00000237844.2	AC016766.1	677	677	714	1118	lncRNA
ENSG00000213642.3	AC016769.1	1010	1010	1010	1010	processed_pseudogene
ENSG00000224669.1	AC016769.2	475	475	475	475	processed_pseudogene
ENSG00000235349.1	AC016769.3	315	315	315	315	processed_pseudogene
ENSG00000276475.1	AC016769.4	535	535	535	535	processed_pseudogene
ENSG00000226072.1	AC016772.1	1261	1261	1261	1261	processed_pseudogene
ENSG00000270195.2	AC016773.1	858	858	914	1408	lncRNA
ENSG00000254321.2	AC016813.1	1428	1428	2122	2367	lncRNA
ENSG00000228683.1	AC016820.1	579	579	579	579	lncRNA
ENSG00000236744.2	AC016822.1	439	439	439	439	lncRNA
ENSG00000232767.2	AC016825.1	797	797	827	883	lncRNA
ENSG00000226380.9	AC016831.1	2571	726	6411	6619	lncRNA
ENSG00000229858.2	AC016831.2	352	352	352	352	processed_pseudogene
ENSG00000232716.2	AC016831.3	1723	1723	1723	1723	processed_pseudogene
ENSG00000240680.1	AC016831.4	307	307	307	307	lncRNA
ENSG00000271204.1	AC016831.5	1998	1998	1998	1998	lncRNA
ENSG00000271522.1	AC016831.6	1517	1517	1517	1517	lncRNA
ENSG00000285106.2	AC016831.7	3433	3148	5195	13221	NA
ENSG00000264269.1	AC016866.1	659	659	659	659	lncRNA
ENSG00000265128.1	AC016866.2	502	502	502	502	lncRNA
ENSG00000280335.1	AC016866.3	714	714	714	714	TEC
ENSG00000253396.1	AC016868.1	523	523	523	523	lncRNA
ENSG00000233223.3	AC016876.1	468	352	725	1380	lncRNA
ENSG00000264772.6	AC016876.2	4554	4554	4554	4554	lncRNA
ENSG00000276384.1	AC016876.3	426	426	426	426	lncRNA
ENSG00000229625.3	AC016877.1	464	464	464	464	lncRNA
ENSG00000253415.1	AC016877.2	1069	1069	1069	1069	processed_pseudogene
ENSG00000271930.1	AC016877.3	504	504	504	504	lncRNA
ENSG00000253960.1	AC016885.1	532	532	532	532	lncRNA
ENSG00000254089.2	AC016885.2	681	681	1102	1202	lncRNA
ENSG00000268080.2	AC016885.3	258	258	258	258	processed_pseudogene
ENSG00000266036.1	AC016888.1	565	565	565	565	lncRNA
ENSG00000234624.2	AC016894.1	311	311	311	311	processed_pseudogene
ENSG00000236634.1	AC016903.1	588	588	588	588	lncRNA
ENSG00000237843.2	AC016903.2	582	582	838	897	lncRNA
ENSG00000225943.1	AC016907.1	435	435	435	435	processed_pseudogene
ENSG00000233862.7	AC016907.2	1469	494	3563	4218	lncRNA
ENSG00000228225.1	AC016908.1	1219	1219	1219	1219	NA
ENSG00000228721.1	AC016909.1	166	166	166	166	processed_pseudogene
ENSG00000233729.1	AC016909.2	1711	1711	1711	1711	NA
ENSG00000232377.1	AC016910.1	1046	1046	1046	1046	lncRNA
ENSG00000276829.1	AC016911.1	452	452	452	452	unprocessed_pseudogene
ENSG00000187600.14	AC016912.1	616	626	741	1483	lncRNA
ENSG00000284608.1	AC016912.2	545	545	545	545	lncRNA
ENSG00000250934.2	AC016924.1	1216	678	2848	5994	lncRNA
ENSG00000227505.1	AC016925.1	298	298	298	298	processed_pseudogene
ENSG00000271175.1	AC016925.2	242	242	242	242	processed_pseudogene
ENSG00000223738.3	AC016930.1	2205	2205	2205	2205	processed_pseudogene
ENSG00000251471.1	AC016933.1	539	539	539	539	lncRNA
ENSG00000230732.4	AC016949.1	1413	1413	1413	1413	lncRNA
ENSG00000258134.1	AC016954.1	745	745	745	745	processed_pseudogene
ENSG00000256070.1	AC016956.1	1108	1108	1108	1108	processed_pseudogene
ENSG00000257094.1	AC016957.1	309	309	309	309	processed_pseudogene
ENSG00000276136.1	AC016957.2	848	848	848	848	lncRNA
ENSG00000240562.1	AC016968.1	697	697	697	697	lncRNA
ENSG00000259620.1	AC016987.1	499	499	499	499	lncRNA
ENSG00000259636.1	AC016987.2	351	351	351	351	lncRNA
ENSG00000275866.1	AC016991.1	385	385	385	385	processed_pseudogene
ENSG00000258178.1	AC016993.1	1258	1258	1258	1258	lncRNA
ENSG00000227294.1	AC016994.1	552	552	552	552	lncRNA
ENSG00000229915.1	AC016999.1	452	452	452	452	lncRNA
ENSG00000274346.1	AC016999.2	556	556	556	556	unprocessed_pseudogene
ENSG00000283991.1	AC017000.1	578	578	578	578	lncRNA
ENSG00000225744.1	AC017002.2	792	792	792	792	lncRNA
ENSG00000240350.3	AC017002.3	503	503	767	899	lncRNA
ENSG00000271635.1	AC017002.4	1525	1525	1525	1525	NA
ENSG00000280878.1	AC017002.5	871	871	871	871	NA
ENSG00000285016.1	AC017002.6	786	786	988	1304	NA
ENSG00000231336.1	AC017006.1	364	364	364	364	lncRNA
ENSG00000232696.1	AC017006.2	464	464	464	464	lncRNA
ENSG00000228814.4	AC017007.1	415	415	415	415	transcribed_processed_pseudogene
ENSG00000234841.4	AC017007.2	1301	1301	1301	1301	processed_pseudogene
ENSG00000241002.1	AC017007.3	435	435	435	435	processed_pseudogene
ENSG00000250500.1	AC017007.4	1352	1352	1352	1352	processed_pseudogene
ENSG00000251126.2	AC017007.5	874	874	874	874	lncRNA
ENSG00000250076.1	AC017013.1	799	799	799	799	NA
ENSG00000240404.2	AC017015.1	286	286	286	286	processed_pseudogene
ENSG00000242190.1	AC017015.2	376	376	376	376	lncRNA
ENSG00000232617.1	AC017019.1	261	261	261	261	unprocessed_pseudogene
ENSG00000271709.1	AC017033.1	708	708	708	708	lncRNA
ENSG00000224442.1	AC017035.1	1115	1115	1115	1115	NA
ENSG00000249627.1	AC017037.1	471	471	471	471	processed_pseudogene
ENSG00000250475.1	AC017037.2	890	890	890	890	unprocessed_pseudogene
ENSG00000279703.1	AC017037.3	472	472	472	472	TEC
ENSG00000279994.1	AC017037.4	826	826	826	826	TEC
ENSG00000229434.1	AC017048.1	495	495	495	495	lncRNA
ENSG00000236231.1	AC017048.2	822	822	822	822	lncRNA
ENSG00000272551.1	AC017048.3	813	813	813	813	lncRNA
ENSG00000234275.4	AC017053.1	1076	969	1790	2550	lncRNA
ENSG00000224549.1	AC017067.1	447	447	447	447	lncRNA
ENSG00000259915.2	AC017071.1	2204	2204	2204	2204	lncRNA
ENSG00000227359.1	AC017074.1	561	561	561	561	lncRNA
ENSG00000233479.1	AC017074.2	607	607	607	607	lncRNA
ENSG00000271947.1	AC017076.1	578	578	578	578	lncRNA
ENSG00000233829.1	AC017078.1	368	368	368	368	NA
ENSG00000185631.7	AC017079.1	415	415	415	415	NA
ENSG00000238180.1	AC017079.2	485	485	485	485	NA
ENSG00000180105.11	AC017081.1	823	823	823	823	NA
ENSG00000273064.1	AC017083.1	979	979	979	979	lncRNA
ENSG00000273275.1	AC017083.2	700	700	700	700	lncRNA
ENSG00000273398.6	AC017083.3	2306	2306	2306	2306	protein_coding
ENSG00000284932.1	AC017083.4	175	175	175	175	unprocessed_pseudogene
ENSG00000251339.6	AC017091.1	789	650	1348	2929	lncRNA
ENSG00000235833.1	AC017099.1	1028	1028	1028	1028	processed_pseudogene
ENSG00000259985.1	AC017100.1	1169	1169	1169	1169	lncRNA
ENSG00000263772.1	AC017100.2	355	355	355	355	processed_pseudogene
ENSG00000227227.1	AC017101.1	571	571	571	571	lncRNA
ENSG00000224376.1	AC017104.1	833	720	1313	1597	lncRNA
ENSG00000230047.1	AC017104.2	321	321	321	321	lncRNA
ENSG00000233538.1	AC017104.3	568	568	568	568	processed_pseudogene
ENSG00000283312.1	AC017104.4	1592	1592	1592	1592	unprocessed_pseudogene
ENSG00000283491.1	AC017104.5	639	639	639	639	lncRNA
ENSG00000239775.1	AC017116.1	657	657	708	708	lncRNA
ENSG00000281160.1	AC018358.1	1402	1402	1402	1402	lncRNA
ENSG00000227498.2	AC018359.1	574	574	574	574	lncRNA
ENSG00000261684.2	AC018362.1	1807	1807	2768	3399	lncRNA
ENSG00000261822.1	AC018362.2	552	552	562	710	lncRNA
ENSG00000263382.2	AC018371.1	1272	1272	1279	1474	lncRNA
ENSG00000266184.1	AC018371.2	913	913	913	913	processed_pseudogene
ENSG00000256746.5	AC018410.1	457	457	492	536	lncRNA
ENSG00000256897.1	AC018410.2	610	610	610	610	NA
ENSG00000265778.3	AC018413.1	719	631	1200	1574	lncRNA
ENSG00000226836.5	AC018437.1	406	406	406	406	processed_pseudogene
ENSG00000253648.1	AC018437.2	389	389	389	389	lncRNA
ENSG00000235683.1	AC018442.1	2061	2061	2061	2061	processed_pseudogene
ENSG00000253539.1	AC018442.2	648	648	648	648	lncRNA
ENSG00000253912.1	AC018442.3	183	183	183	183	processed_pseudogene
ENSG00000275186.1	AC018445.1	568	568	568	568	lncRNA
ENSG00000279397.1	AC018445.2	260	260	260	260	TEC
ENSG00000279637.1	AC018445.3	1945	1945	1945	1945	TEC
ENSG00000279981.1	AC018445.4	2291	2291	2291	2291	TEC
ENSG00000257237.1	AC018448.1	316	316	316	316	unprocessed_pseudogene
ENSG00000257586.1	AC018448.2	305	305	305	305	unprocessed_pseudogene
ENSG00000241679.2	AC018450.1	460	460	529	746	lncRNA
ENSG00000243733.1	AC018450.2	368	368	368	368	lncRNA
ENSG00000229839.6	AC018462.1	1136	1136	1684	1836	lncRNA
ENSG00000271657.1	AC018462.2	395	395	395	395	processed_pseudogene
ENSG00000230154.1	AC018463.1	917	917	917	917	NA
ENSG00000234520.6	AC018464.1	923	774	1878	3826	NA
ENSG00000232451.2	AC018467.1	644	625	820	1765	lncRNA
ENSG00000280414.1	AC018470.1	3129	3129	3129	3129	TEC
ENSG00000241556.1	AC018475.1	465	465	465	465	processed_pseudogene
ENSG00000230599.2	AC018495.1	452	452	452	452	lncRNA
ENSG00000227186.1	AC018511.1	380	380	380	380	lncRNA
ENSG00000234149.1	AC018511.2	189	189	189	189	lncRNA
ENSG00000262560.1	AC018512.1	2326	2326	2326	2326	protein_coding
ENSG00000263798.2	AC018521.1	1615	1615	2655	2801	lncRNA
ENSG00000264019.1	AC018521.2	434	434	473	527	lncRNA
ENSG00000264243.1	AC018521.3	816	816	816	816	lncRNA
ENSG00000264701.1	AC018521.4	531	531	531	531	lncRNA
ENSG00000264920.2	AC018521.5	1611	522	3939	4312	lncRNA
ENSG00000266601.1	AC018521.6	335	335	335	335	lncRNA
ENSG00000266821.1	AC018521.7	2927	2927	2927	2927	lncRNA
ENSG00000255074.1	AC018523.1	512	512	512	512	processed_pseudogene
ENSG00000256206.2	AC018523.2	1221	1221	1221	1221	protein_coding
ENSG00000275178.1	AC018529.1	361	361	361	361	lncRNA
ENSG00000278330.1	AC018529.2	1957	1957	3087	3125	lncRNA
ENSG00000279433.1	AC018529.3	2254	2254	2254	2254	TEC
ENSG00000253300.2	AC018541.1	921	861	1377	1678	lncRNA
ENSG00000260438.1	AC018552.1	811	811	811	811	processed_pseudogene
ENSG00000260467.1	AC018552.2	804	804	804	804	lncRNA
ENSG00000261633.1	AC018552.3	556	556	556	556	lncRNA
